,Ticker,Open,Close,Date,Volume
0,WD,32.78,37.46,2017-02-10,2552222
1,WD,23.82,27.15,2016-11-04,1743745
2,WD,23.66,27.74,2016-08-05,1230722
3,WD,19.31,23.0,2015-05-08,4584048
4,WD,14.77,17.05,2014-02-14,503600
5,WD,13.8,16.08,2013-11-22,926300
6,WD,18.5,20.78,2013-01-18,696300
7,WD,11.35,12.71,2012-03-09,281400
8,SOR,22.71,25.5279,2009-03-13,79824
9,SOR,22.55,26.36,2008-11-28,56350
10,SOR,31.8,35.45,2008-10-31,49732
11,SOR,46.0,54.53,2008-01-25,74000
12,KSU,70.6,78.36,2012-04-27,7564300
13,KSU,49.49,54.55,2011-10-07,7311900
14,KSU,48.66,54.71,2011-09-16,6153700
15,KSU,49.1,54.47,2011-08-12,8980000
16,KSU,33.67,37.16,2010-09-03,6755400
17,KSU,34.78,38.35,2010-07-23,6799800
18,KSU,24.365,27.93,2009-11-06,12047600
19,KSU,20.63,23.18,2009-08-07,9272000
20,KSU,15.44,18.36,2009-07-17,7364800
21,KSU,15.96,17.94,2009-06-12,12805300
22,KSU,15.04,16.85,2009-04-17,6569200
23,KSU,17.87,21.46,2009-02-06,9757100
24,KSU,18.34,20.39,2009-01-02,5426500
25,KSU,17.28,19.02,2008-12-19,15031500
26,KSU,19.2,21.92,2008-11-28,7650500
27,KSU,26.65,30.87,2008-10-31,12597300
28,KSU,45.74,51.17,2008-09-19,8489600
29,KSU,47.94,53.3,2008-08-01,12301900
30,KSU,34.18,37.75,2008-03-20,5507100
31,KSU,34.14,38.03,2008-02-01,4981700
32,KSU,29.31,34.2,2008-01-25,6468400
33,KSU,34.37,37.96,2007-10-26,4751300
34,KSU,23.8,27.44,2006-05-05,9263600
35,KSU,19.95,23.06,2005-09-16,6160300
36,KSU,16.99,18.9,2005-02-04,6437900
37,KSU,12.25,14.27,2002-10-11,1965500
38,KSU,13.55,14.99,2002-03-01,1443300
39,KSU,13.5,15.0,2001-12-21,1064000
40,KSU,12.39,13.8,2001-11-16,1528700
41,KSU,13.49,15.95,2001-05-18,1969700
42,KSU,12.85,14.2,2001-03-30,2006100
43,KSU,12.95,14.64,2001-02-09,3139700
44,KSU,11.8,13.1,2001-02-02,2728500
45,KSU,8.62,10.13,2000-12-29,1444600
46,KSU,8.688,9.563,2000-09-01,2998000
47,KSU,6.75,8.438,2000-08-18,6797200
48,KSU,80.19,88.69,2000-06-30,8836600
49,KSU,76.25,84.84,2000-06-16,7473800
50,KSU,65.94,77.69,2000-06-02,5448600
51,KSU,65.19,71.75,2000-04-28,8808600
52,KSU,59.12,65.44,2000-04-20,5285000
53,KSU,82.69,91.19,2000-03-24,5590400
54,KSU,78.88,90.0,2000-03-03,8297000
55,KSU,70.19,78.62,2000-02-25,7936800
56,DAL,39.5,43.94,2015-08-28,61967711
57,DAL,35.51,39.44,2014-10-24,102939926
58,DAL,14.75,16.24,2013-03-08,74962700
59,DAL,11.57,12.98,2013-01-04,55684900
60,DAL,10.11,11.22,2012-12-14,88907400
61,DAL,9.12,10.28,2012-10-05,65825300
62,DAL,10.15,11.37,2012-05-25,67183300
63,DAL,9.42,10.39,2012-01-27,113953400
64,DAL,7.4,8.41,2011-12-02,82505800
65,DAL,7.17,8.4,2011-09-16,77783100
66,DAL,9.03,10.38,2011-04-29,110985200
67,DAL,10.01,11.23,2011-03-11,117673400
68,DAL,11.43,13.18,2010-10-22,77891100
69,DAL,12.44,13.74,2010-05-14,73858200
70,DAL,12.42,14.5,2010-03-26,58063000
71,DAL,11.22,12.47,2010-01-08,98932900
72,DAL,9.66,11.25,2009-12-11,97079800
73,DAL,7.87,9.94,2009-12-04,72375600
74,DAL,8.09,8.96,2009-09-18,105935500
75,DAL,6.14,6.93,2009-07-31,52115500
76,DAL,6.09,7.02,2009-06-05,75268500
77,DAL,6.5,7.39,2009-04-09,46469500
78,DAL,5.87,6.64,2009-04-03,56029700
79,DAL,5.2,6.04,2009-03-27,61965600
80,DAL,3.9,5.82,2009-03-13,72175700
81,DAL,10.24,12.13,2009-01-02,34456400
82,DAL,8.6,10.36,2008-12-05,60743800
83,DAL,6.9,8.81,2008-11-28,42742200
84,DAL,8.56,10.98,2008-10-31,111008900
85,DAL,6.56,9.19,2008-10-17,94009900
86,DAL,8.35,9.67,2008-09-19,136680500
87,DAL,7.8,9.12,2008-08-08,95487600
88,DAL,4.9,6.93,2008-07-18,94854000
89,DAL,6.95,8.5,2008-05-02,65744200
90,DAL,9.1,10.01,2008-04-11,37864400
91,DAL,16.21,18.53,2008-02-01,24307200
92,DAL,13.7,16.21,2008-01-25,14132500
93,DAL,13.43,15.48,2008-01-11,47093900
94,DAL,16.88,19.97,2007-11-16,39920000
95,DAL,16.1,18.24,2007-08-24,15431600
96,JEC,50.15,55.62,2016-11-11,7979097
97,JEC,45.635,51.02,2011-01-14,7975899
98,JEC,38.25,42.9,2009-05-29,9516500
99,JEC,32.21,40.35,2009-03-13,18934800
100,JEC,37.89,42.04,2009-02-06,18349500
101,JEC,30.99,44.77,2008-11-28,15968500
102,JEC,29.68,36.43,2008-10-31,13756800
