,Close,Date,Open,Ticker,Volume
5339,20.67,20110819,24.17,GNC,2330500
5338,44.72,20140214,51.15,GNC,25084100
5337,37.54,20140509,44.31,GNC,26441400
5336,36.55,20151023,40.66,GNC,20235491
5335,29.75,20151030,36.55,GNC,37151570
5334,24.74,20160115,32.15,GNC,17253229
5333,24.36,20160429,34.54,GNC,25595239
5332,20.41,20160729,27.22,GNC,20987098
5331,13.48,20161028,21.07,GNC,37015733
5330,13.32,20161202,15.21,GNC,10562072
5329,10.84,20161223,13.02,GNC,14675124
5328,9.47,20170120,11.31,GNC,17577376
5327,7.64,20170217,8.55,GNC,35221532
5326,6.88,20171027,8.3,GNC,27763151
5325,5.83,20171110,6.65,GNC,15749296
5324,5.53,20171124,6.85,GNC,16933179
5323,3.72,20171222,4.87,GNC,30834695
5322,4.18,20180125,4.81,GNC,22357063
5321,19.75,20080801,23.35,DAC,974600
5320,16.75,20080926,18.71,DAC,386300
5319,12.0,20081003,16.91,DAC,718700
5318,8.5,20081010,11.6,DAC,946800
5317,7.46,20081024,9.0,DAC,490300
5316,7.98,20081107,9.19,DAC,988600
5315,6.36,20081114,8.39,DAC,754000
5314,3.18,20081121,6.4,DAC,934200
5313,7.8,20090116,10.17,DAC,1068000
5312,5.71,20090213,7.15,DAC,1136300
5311,4.22,20090220,5.57,DAC,1341600
5310,3.32,20090306,4.32,DAC,2598300
5309,3.2,20090320,3.61,DAC,971600
5308,4.11,20090424,5.1,DAC,1774900
5307,3.73,20090515,4.56,DAC,1479000
5306,3.38,20090619,3.96,DAC,990300
5305,4.5,20090925,5.94,DAC,3624400
5304,4.47,20091023,5.06,DAC,1079700
5303,4.12,20100205,4.65,DAC,982500
5302,4.27,20100507,5.09,DAC,702500
5301,5.4,20110610,6.66,DAC,346100
5300,4.49,20110722,5.07,DAC,185100
5299,3.71,20110805,4.51,DAC,256300
5298,3.21,20110923,3.68,DAC,104200
5297,3.26,20111104,3.86,DAC,193000
5296,3.37,20111216,3.79,DAC,99500
5295,3.76,20120518,4.23,DAC,77900
5294,3.33,20130215,3.81,DAC,184000
5293,3.97,20130920,4.45,DAC,401300
5292,5.49,20140425,6.12,DAC,166000
5291,5.16,20160108,5.99,DAC,176020
5290,4.66,20160212,5.23,DAC,164991
5289,3.16,20160506,3.99,DAC,559024
5288,2.82,20160701,3.15,DAC,265564
5287,3.84,20160812,4.31,DAC,681215
5286,2.89,20160902,3.49,DAC,418015
5285,2.38,20161014,2.65,DAC,329364
5284,2.2,20170303,2.55,DAC,256045
5283,1.8,20170310,2.2,DAC,517591
5282,1.65,20170324,2.05,DAC,175037
5281,1.5,20170512,1.7,DAC,404736
5280,1.3,20170519,1.5,DAC,272075
5279,2.1,20170721,2.65,DAC,2550383
5278,1.6,20170811,1.8,DAC,348072
5277,1.4,20170818,1.6,DAC,325502
5276,15.16,20010921,17.2,LZB,1081100
5275,21.15,20020719,23.9,LZB,1855900
5274,19.98,20031010,23.19,LZB,3477300
5273,13.34,20041008,15.35,LZB,4094400
5272,13.88,20050107,15.5,LZB,3025800
5271,13.61,20051223,15.25,LZB,3190500
5270,9.55,20070817,11.0,LZB,4688300
5269,7.38,20070928,9.14,LZB,4317200
5268,5.46,20071130,6.42,LZB,2629800
5267,7.21,20080111,8.98,LZB,2615600
5266,6.39,20080118,7.27,LZB,1732300
5265,7.25,20080411,8.14,LZB,2438600
5264,7.38,20080822,8.34,LZB,1238000
5263,8.53,20081003,10.03,LZB,2363700
5262,7.41,20081010,8.28,LZB,3031600
5261,6.54,20081017,7.84,LZB,1682700
5260,4.61,20081024,6.59,LZB,1896400
5259,4.71,20081107,5.68,LZB,1987800
5258,3.15,20081121,4.79,LZB,3412800
5257,2.66,20081205,3.14,LZB,1784900
5256,1.65,20090116,2.24,LZB,2478800
5255,1.21,20090123,1.61,LZB,1192200
5254,0.97,20090130,1.22,LZB,2443000
5253,0.9,20090227,1.17,LZB,1885300
5252,0.6,20090306,0.9,LZB,3938800
5251,1.99,20090515,2.78,LZB,4112600
5250,8.49,20090925,9.77,LZB,3519700
5249,7.1,20091030,8.86,LZB,4475400
5248,9.53,20091231,10.78,LZB,1111100
5247,10.15,20100129,11.53,LZB,2253400
5246,12.63,20100319,14.86,LZB,4489000
5245,13.04,20100430,14.77,LZB,3667300
5244,9.55,20100618,12.62,LZB,10661700
5243,8.6,20100625,9.73,LZB,6557500
5242,6.96,20100702,8.45,LZB,5731700
5241,7.2,20100716,8.08,LZB,5113600
5240,7.11,20100813,8.27,LZB,3629800
5239,9.72,20110603,10.95,LZB,1748900
5238,7.82,20110805,8.98,LZB,3659400
5237,13.46,20120518,14.96,LZB,2994700
5236,13.04,20120601,14.5,LZB,2224800
5235,11.49,20120622,13.01,LZB,7499000
5234,25.69,20151113,28.75,LZB,2183222
5233,24.1,20170825,30.9,LZB,8140152
5232,30.8,20020607,34.75,ITUB,308255
5231,21.1,20020726,28.45,ITUB,938170
5230,19.5,20020816,22.21,ITUB,1321617
5229,19.65,20020920,22.06,ITUB,316159
5228,14.7,20020927,18.27,ITUB,622251
5227,21.27,20030124,23.7,ITUB,741344
5226,39.64,20040430,44.42,ITUB,783448
5225,24.23,20051007,120.58,ITUB,1216324
