,Close,Date,Open,Ticker,Volume,close at drop,weeks since drop
0,20.12,20110930,21.39,GNC,2398200,20.67,6
1,32.67,20140808,33.32,GNC,18171500,44.72,25
2,32.67,20140808,33.32,GNC,18171500,37.54,13
3,24.74,20160115,32.15,GNC,17253229,36.55,12
4,24.36,20160429,34.54,GNC,25595239,29.75,26
5,24.36,20160429,34.54,GNC,25595239,24.74,15
6,13.48,20161028,21.07,GNC,37015733,24.36,26
56,15.16,20010921,17.2,LZB,1081100,15.16,1
57,21.05,20030117,22.33,LZB,2199200,21.15,26
58,19.35,20031024,20.36,LZB,1853200,19.98,2
59,13.04,20041015,13.45,LZB,2317900,13.34,1
60,11.84,20050429,12.77,LZB,2663000,13.88,16
61,12.99,20060616,13.44,LZB,7120800,13.61,25
95,11.49,20120622,13.01,LZB,7499000,13.46,5
96,11.49,20120622,13.01,LZB,7499000,13.04,3
97,11.49,20120622,13.01,LZB,7499000,11.49,1
98,19.97,20160205,21.27,LZB,1663384,25.69,12
99,14.7,20020927,18.27,ITUB,622251,30.8,16
100,14.7,20020927,18.27,ITUB,622251,21.1,9
101,14.7,20020927,18.27,ITUB,622251,19.5,6
102,14.7,20020927,18.27,ITUB,622251,19.65,1
103,14.7,20020927,18.27,ITUB,622251,14.7,1
104,21.13,20030221,21.4,ITUB,217629,21.27,4
105,37.55,20040507,39.61,ITUB,1034069,39.64,1
106,22.24,20051021,23.28,ITUB,4888717,24.23,2
107,25.07,20060609,28.44,ITUB,8729228,25.07,1
108,32.69,20070302,36.6,ITUB,16073663,32.69,1
109,22.07,20080118,25.2,ITUB,24477122,44.25,25
110,20.81,20080208,22.51,ITUB,33341918,27.46,17
111,20.81,20080208,22.51,ITUB,33341918,23.45,11
112,19.48,20080711,19.68,ITUB,42565227,22.07,25
113,7.48,20081024,11.32,ITUB,56058244,22.01,19
114,7.48,20081024,11.32,ITUB,56058244,13.52,3
115,7.48,20081024,11.32,ITUB,56058244,10.05,2
116,7.48,20081024,11.32,ITUB,56058244,7.48,1
121,18.2,20100521,20.08,ITUB,116144536,19.61,2
122,15.02,20110923,16.28,ITUB,94979216,17.89,7
123,10.39,20150313,11.17,ITUB,128892049,15.86,26
124,10.39,20150313,11.17,ITUB,128892049,12.62,13
130,10.61,20170623,10.9,ITUB,45989449,10.88,5
131,23.88,20010608,24.3,EAT,12657134,34.88,22
132,23.88,20010608,24.3,EAT,12657134,23.94,20
133,22.46,20010921,24.75,EAT,3419001,24.3,16
134,30.78,20031024,34.21,EAT,25230601,30.78,1
135,29.5,20040813,34.2,EAT,17067868,29.5,1
136,29.7,20061215,30.06,EAT,5329800,30.36,2
137,15.49,20080118,16.33,EAT,9216400,16.25,1
145,9.3,20090116,10.4,EAT,8977200,9.3,1
146,12.64,20091030,14.0,EAT,22208800,14.78,12
147,12.64,20091030,14.0,EAT,22208800,14.01,1
148,11.25,20001013,12.25,GF,193600,12.5,26
156,11.21,20100205,11.78,GF,223290,11.24,14
157,10.87,20100521,11.77,GF,356858,11.53,2
158,12.24,20111230,12.93,GF,172953,14.67,21
159,18.22,20140516,19.05,GF,313860,19.99,20
160,21.01,20171208,22.62,BHVN,3092122,21.5,26
161,18.47,20051014,20.05,DSW,3305800,22.46,3
162,27.0,20060825,29.0,DSW,1277200,29.5,3
163,30.58,20061103,35.05,DSW,3006700,30.58,1
164,15.9,20080118,17.68,DSW,2342800,31.96,25
165,13.49,20080328,17.76,DSW,6684600,25.17,26
166,11.9,20080411,13.36,DSW,3815800,18.45,17
167,10.8,20080711,11.47,DSW,2743900,15.9,25
168,10.8,20080711,11.47,DSW,2743900,13.49,15
169,10.8,20080711,11.47,DSW,2743900,11.9,13
170,10.66,20081024,12.11,DSW,1780900,13.39,24
177,9.6,20090626,10.15,DSW,1125300,9.61,9
178,9.6,20090626,10.15,DSW,1125300,10.32,2
179,22.28,20100702,24.1,DSW,2412500,25.56,15
180,22.28,20100702,24.1,DSW,2412500,27.12,8
181,22.28,20100702,24.1,DSW,2412500,25.22,4
182,23.72,20100813,26.94,DSW,1465900,23.72,1
183,37.81,20110819,46.02,DSW,3793800,48.36,2
184,37.81,20110819,46.02,DSW,3793800,37.81,1
185,25.05,20140530,33.1,DSW,54315400,25.05,1
186,14.75,20081010,18.6,SEP,665532,14.75,1
187,15.91,20081121,20.13,SEP,456368,15.91,1
188,17.57,20081205,19.95,SEP,188143,17.57,1
189,21.34,20080118,22.38,DRE,11268400,25.01,5
202,10.6,20100716,10.63,DRE,24559600,11.81,8
203,9.73,20111007,10.41,DRE,15354500,11.53,9
214,10.52,20130621,12.04,BITA,509900,10.52,1
215,12.86,20130816,16.3,BITA,1990500,12.86,1
216,28.31,20131213,28.07,BITA,6071000,31.5,2
217,30.65,20140131,31.2,BITA,6721100,31.77,1
218,31.92,20140411,35.85,BITA,6348600,31.92,1
219,47.6,20150313,66.4,BITA,11757282,64.1,22
220,47.6,20150313,66.4,BITA,11757282,74.57,14
221,46.6,20150717,48.36,BITA,4165006,63.53,26
222,24.91,20150821,29.42,BITA,6229934,47.6,23
223,24.03,20151211,25.62,BITA,3864752,51.77,24
224,18.3,20160205,18.54,BITA,2778711,30.64,26
225,17.21,20160212,18.03,BITA,2123729,24.91,25
226,17.21,20160212,18.03,BITA,2123729,31.9,15
227,17.21,20160212,18.03,BITA,2123729,21.67,4
228,17.21,20160212,18.03,BITA,2123729,19.89,3
229,18.62,20160520,20.72,BITA,4015275,21.44,1
230,18.62,20160520,20.72,BITA,4015275,18.62,1
231,17.75,20161216,19.59,BITA,4101486,25.48,18
232,17.75,20161216,19.59,BITA,4101486,20.74,2
233,27.02,20170616,27.8,BITA,2486362,29.25,3
234,13.44,20000505,13.63,URI,4183300,16.31,12
235,13.44,20000505,13.63,URI,4183300,15.0,4
236,12.44,20001222,14.75,URI,5428100,12.44,1
237,17.34,20010928,18.65,URI,3173100,17.9,1
238,11.0,20020920,13.44,URI,3266600,26.35,26
246,16.12,20030926,18.48,URI,1595000,16.12,1
247,15.89,20040521,15.96,URI,2609100,17.54,12
248,15.03,20040903,20.3,URI,19165100,17.2,18
249,15.03,20040903,20.3,URI,19165100,15.03,1
250,17.41,20050826,17.98,URI,3037000,17.54,6
251,20.3,20060811,28.33,URI,17355500,29.04,9
252,20.3,20060811,28.33,URI,17355500,20.3,1
253,16.02,20080118,17.2,URI,9167100,23.37,9
254,16.02,20080118,17.2,URI,9167100,17.91,4
271,8.53,20100702,10.69,URI,10039700,12.12,8
272,8.53,20100702,10.69,URI,10039700,11.81,6
273,8.53,20100702,10.69,URI,10039700,10.68,1
274,8.53,20100702,10.69,URI,10039700,8.53,1
275,11.84,20100827,12.6,URI,5363000,12.03,2
276,13.11,20110819,17.07,URI,16669000,23.01,3
277,13.11,20110819,17.07,URI,16669000,17.65,2
278,13.11,20110819,17.07,URI,16669000,13.11,1
279,16.11,20110923,17.96,URI,14171300,16.11,1
280,29.63,20120727,29.66,URI,27259900,33.05,10
281,29.63,20120727,29.66,URI,27259900,31.11,8
282,29.63,20120727,29.66,URI,27259900,30.39,1
283,32.08,20121012,33.4,URI,12734600,32.71,2
284,82.31,20150116,89.29,URI,18230257,93.74,14
285,82.31,20150116,89.29,URI,18230257,99.68,5
286,81.39,20150710,83.31,URI,10901005,89.29,26
287,59.65,20151002,62.3,URI,13136572,88.91,18
288,54.9,20160115,62.17,URI,13384868,64.72,25
289,45.45,20160212,47.14,URI,12028237,61.81,5
290,45.45,20160212,47.14,URI,12028237,54.9,4
291,45.45,20160212,47.14,URI,12028237,47.91,2
292,25.75,20080125,25.63,UTL,40300,26.05,11
293,19.25,20090227,19.97,UTL,117500,22.78,20
294,19.05,20090424,19.99,UTL,141000,20.794,20
295,37.1,20160422,41.26,UTL,325943,37.1,1
296,14.44,20000310,15.75,APU,265000,16.0,4
297,19.95,20020222,20.5,APU,436500,20.35,22
298,29.4,20080718,30.92,APU,446165,31.14,26
299,19.59,20081010,30.0,APU,1832531,19.59,1
300,23.76,20081121,30.15,APU,677064,23.76,1
301,24.51,20090306,28.6,APU,922775,24.51,1
302,37.59,20120601,39.04,APU,526373,40.0,11
303,9.75,20010119,11.56,PCG,33543300,24.21,16
304,7.2,20010406,11.1,PCG,16090200,23.56,17
305,7.2,20010406,11.1,PCG,16090200,20.06,15
306,7.2,20010406,11.1,PCG,16090200,12.63,13
307,7.2,20010406,11.1,PCG,16090200,9.75,11
308,7.2,20010406,11.1,PCG,16090200,11.42,3
309,7.2,20010406,11.1,PCG,16090200,10.65,2
310,7.2,20010406,11.1,PCG,16090200,7.2,1
311,15.2,20010928,16.99,PCG,10813400,15.2,1
312,8.81,20020802,12.25,PCG,33206900,20.7,11
313,8.81,20020802,12.25,PCG,33206900,17.89,5
314,8.81,20020802,12.25,PCG,33206900,14.98,3
315,8.81,20020802,12.25,PCG,33206900,8.81,1
316,9.19,20021011,10.6,PCG,10897300,11.28,3
317,9.19,20021011,10.6,PCG,10897300,9.19,1
318,29.7,20081010,37.4,PCG,24541400,29.7,1
319,20.25,20020913,20.59,COL,2939400,22.81,23
320,18.3,20030314,18.23,COL,4311100,21.4,15
321,28.35,20090306,30.45,COL,10346100,36.23,21
322,28.35,20090306,30.45,COL,10346100,31.2,1
323,18.63,20000420,21.56,IMAX,834700,22.13,14
324,18.63,20000420,21.56,IMAX,834700,23.31,7
372,12.54,20100716,12.7,IMAX,7684513,13.95,2
373,14.48,20110930,15.95,IMAX,7082726,31.45,16
374,14.48,20110930,15.95,IMAX,7082726,28.42,12
375,14.48,20110930,15.95,IMAX,7082726,18.96,9
376,14.48,20110930,15.95,IMAX,7082726,16.48,8
377,14.48,20110930,15.95,IMAX,7082726,14.76,6
378,25.99,20160212,27.46,IMAX,2965914,30.85,25
379,14.3,20010202,14.87,SNP,136200,17.75,9
380,14.3,20010202,14.87,SNP,136200,14.94,6
381,14.4,20010316,14.6,SNP,345600,15.06,2
382,14.9,20020726,15.15,SNP,162000,15.4,1
383,25.03,20030919,28.7,SNP,2135100,25.03,1
384,33.87,20040521,31.4,SNP,1797400,43.9,19
385,50.72,20060609,57.5,SNP,1559677,50.72,1
386,75.37,20070316,78.45,SNP,1739200,76.05,2
387,83.09,20080320,79.01,SNP,4124515,142.0,14
388,83.09,20080320,79.01,SNP,4124515,116.24,9
389,83.09,20080320,79.01,SNP,4124515,95.59,2
390,83.09,20080320,79.01,SNP,4124515,84.99,1
391,62.5,20081010,72.29,SNP,4013502,88.88,26
392,57.05,20081024,73.45,SNP,4595239,98.35,24
393,48.92,20090306,49.72,SNP,4183827,62.5,21
394,48.92,20090306,49.72,SNP,4183827,57.05,19
395,48.92,20090306,49.72,SNP,4183827,60.15,8
396,84.42,20110819,87.32,SNP,853820,90.21,2
397,67.88,20130705,91.96,SNP,454936,67.88,1
398,32.35,20040507,33.35,EPR,586800,36.63,4
399,42.3,20070803,45.73,EPR,1597000,45.73,1
400,45.13,20080208,50.56,EPR,1839400,45.13,1
401,48.47,20080411,51.18,EPR,1219700,49.02,2
402,20.46,20081121,28.45,EPR,4971800,49.17,21
403,12.79,20090306,14.56,EPR,6349400,38.8,20
404,12.79,20090306,14.56,EPR,6349400,32.95,19
405,12.79,20090306,14.56,EPR,6349400,28.75,16
406,12.79,20090306,14.56,EPR,6349400,20.46,15
407,12.79,20090306,14.56,EPR,6349400,19.91,3
408,12.79,20090306,14.56,EPR,6349400,14.91,1
409,12.79,20090306,14.56,EPR,6349400,12.79,1
410,18.5,20090522,19.58,EPR,4451300,19.24,1
411,37.51,20111007,38.67,EPR,2373200,40.02,9
416,10.9,20010921,13.1,SAH,3085800,17.4,8
417,10.9,20010921,13.1,SAH,3085800,10.9,1
418,20.94,20020104,23.96,SAH,1095900,20.94,1
419,17.51,20020802,21.78,SAH,5538300,23.1,25
420,15.33,20021011,15.42,SAH,2239800,27.1,17
421,14.9,20021220,15.7,SAH,3319900,17.51,20
422,14.0,20030314,14.55,SAH,925200,15.45,23
423,20.88,20031205,22.45,SAH,1634600,22.7,5
424,19.79,20051118,22.15,SAH,4674200,19.79,1
425,16.5,20080118,17.15,SAH,2301900,25.92,25
426,15.59,20080613,17.64,SAH,2140000,20.29,26
427,11.88,20080703,13.52,SAH,2202000,17.31,26
448,8.94,20091030,12.68,SAH,13468100,11.02,8
449,8.94,20091030,12.68,SAH,13468100,8.94,1
453,10.79,20110930,11.38,SAH,2840600,11.88,6
454,13.67,20120629,13.71,SAH,10359800,15.69,8
455,15.91,20160212,16.24,SAH,2585466,19.15,5
456,8.88,20081121,11.0,ETB,616171,9.9,6
457,8.88,20081121,11.0,ETB,616171,8.88,1
458,9.3,20090306,10.0,ETB,828498,10.36,2
459,13.7,20100521,14.86,ETB,467989,15.03,17
460,13.7,20100521,14.86,ETB,467989,14.28,2
461,8.99,20010921,10.45,BBVA,1253500,8.99,1
462,17.88,20080801,18.62,BBVA,6926535,19.47,25
473,9.16,20110107,10.18,BBVA,17637171,12.52,21
474,9.16,20110107,10.18,BBVA,17637171,9.16,1
478,11.13,20110909,11.0,WSR,140900,12.16,18
479,14.62,20000324,15.25,HRL,2015300,18.0,5
480,14.62,20000324,15.25,HRL,2015300,15.19,3
481,21.73,20010921,24.5,HRL,1607900,21.73,1
482,26.56,20081128,29.01,HRL,3692100,32.3,7
483,26.56,20081128,29.01,HRL,3692100,28.48,5
484,26.92,20110218,51.57,HRL,4272000,26.92,1
485,34.67,20160603,34.83,HRL,12521971,41.5,16
486,34.67,20160603,34.83,HRL,12521971,34.86,2
487,9.5,20001013,10.06,IIF,450300,12.19,26
488,9.5,20001013,10.06,IIF,450300,10.88,22
489,9.5,20001013,10.06,IIF,450300,9.81,21
492,19.58,20040813,20.22,IIF,328400,23.68,15
493,19.58,20040813,20.22,IIF,328400,20.4,13
494,37.1,20051021,38.4,IIF,947200,38.16,1
495,36.71,20080320,35.55,IIF,936745,51.1,22
496,33.05,20080620,35.49,IIF,652531,51.03,26
497,21.66,20080703,22.52,IIF,1037856,45.83,24
498,11.79,20081226,12.49,IIF,604352,23.19,26
499,10.14,20090306,10.35,IIF,1137733,14.72,21
500,10.14,20090306,10.35,IIF,1137733,13.35,19
501,10.14,20090306,10.35,IIF,1137733,13.96,16
502,11.13,20000420,12.63,HCC,529867,11.13,1
503,22.0,20010112,23.5,HCC,1052467,23.63,1
504,20.72,20020726,21.01,HCC,2256801,23.35,2
505,20.72,20020726,21.01,HCC,2256801,21.01,1
506,20.39,20080711,21.33,HCC,6650500,23.86,20
507,16.75,20081010,25.07,HCC,7285800,16.75,1
508,20.26,20081121,23.45,HCC,9915600,20.26,1
509,21.34,20090306,21.45,HCC,9769300,22.12,2
510,25.6,20111125,26.0,HCC,2592800,26.9,16
511,15.86,20170616,17.5,HCC,2765445,18.0,9
513,10.2,20170210,10.17,KEN,19992,10.8,1
517,30.47,20151113,33.38,DKL,150850,40.99,23
518,24.55,20160122,28.7,DKL,290997,38.25,26
519,24.55,20160122,28.7,DKL,290997,38.43,24
520,22.7,20160212,27.25,DKL,299639,31.41,20
521,22.7,20160212,27.25,DKL,299639,31.1,9
522,22.7,20160212,27.25,DKL,299639,24.55,3
523,22.7,20160212,27.25,DKL,299639,22.7,1
524,22.0,20161104,25.45,DKL,308502,29.24,26
525,22.0,20161104,25.45,DKL,308502,22.0,1
526,11.8,20040806,12.55,TPX,1068100,13.99,12
527,9.8,20051014,10.55,TPX,10876000,17.96,12
528,9.8,20051014,10.55,TPX,10876000,11.71,3
529,9.8,20051014,10.55,TPX,10876000,10.71,1
530,10.92,20080509,11.99,TPX,6868900,30.91,26
544,9.88,20090522,11.28,TPX,4754400,11.12,1
545,9.88,20090522,11.28,TPX,4754400,9.88,1
546,11.22,20090710,11.33,TPX,6042500,11.51,1
547,19.37,20091030,21.65,TPX,8229200,19.37,1
548,26.93,20100827,29.25,TPX,10274100,30.38,16
549,48.93,20111125,59.47,TPX,11191800,63.58,16
550,48.93,20111125,59.47,TPX,11191800,51.55,14
551,46.07,20120518,52.31,TPX,25861700,48.93,25
552,22.03,20120622,23.69,TPX,14238600,66.53,9
553,22.03,20120622,23.69,TPX,14238600,46.07,5
554,22.03,20120622,23.69,TPX,14238600,43.14,3
555,22.03,20120622,23.69,TPX,14238600,25.54,2
556,24.65,20121116,26.56,TPX,5293000,30.1,8
557,24.65,20121116,26.56,TPX,5293000,25.4,3
558,36.98,20130816,39.3,TPX,6395700,37.05,3
559,53.21,20160205,59.55,TPX,13155693,53.21,1
560,43.49,20170203,46.75,TPX,41504847,56.74,18
561,30.25,20000707,33.38,SFE,2945400,145.88,25
562,30.19,20000728,34.94,SFE,3055800,141.0,26
563,19.88,20000929,23.44,SFE,5950800,69.0,26
564,15.63,20001006,19.31,SFE,7277400,59.5,26
565,15.0,20001013,15.63,SFE,7582200,35.0,26
566,11.94,20001124,12.88,SFE,4141800,31.13,26
625,10.54,20100604,11.14,SFE,313500,10.96,4
626,13.48,20110923,14.76,SFE,634200,14.95,7
627,14.54,20130830,14.66,SFE,199300,15.0,5
628,11.8,20160115,13.01,SFE,642749,17.21,25
629,10.75,20161104,11.75,SFE,290387,11.76,1
635,14.28,20141212,16.3001,DLNG,517496,19.52,9
636,14.28,20141212,16.3001,DLNG,517496,14.28,1
643,12.85,20161104,14.61,DLNG,1017054,13.01,26
644,12.85,20161104,14.61,DLNG,1017054,12.85,1
645,21.81,20000310,22.56,AZO,3110500,23.25,4
646,21.88,20000922,22.19,AZO,2041800,22.02,12
647,41.51,20010910,41.49,AZO,1052100,42.1,1
648,60.83,20030124,65.98,AZO,7789400,68.51,6
649,82.16,20031212,91.55,AZO,23806600,82.16,1
650,73.81,20040806,77.21,AZO,6388700,78.8,5
651,92.41,20081121,106.0,AZO,13096700,99.7,6
652,92.41,20081121,106.0,AZO,13096700,105.76,1
653,92.41,20081121,106.0,AZO,13096700,92.41,1
654,501.39,20170707,570.85,AZO,3654646,501.39,1
655,35.71,20010921,46.95,TFX,1442100,35.71,1
656,41.3,20021227,41.82,TFX,266700,50.3,24
657,41.25,20040924,42.5,TFX,2389000,43.63,11
658,51.05,20060714,53.66,TFX,1570600,51.77,4
659,56.6,20080125,54.48,TFX,1891800,77.11,26
660,39.08,20090403,38.75,TFX,2706400,47.34,25
661,39.08,20090403,38.75,TFX,2706400,44.36,23
662,39.08,20090403,38.75,TFX,2706400,42.07,19
663,39.08,20090403,38.75,TFX,2706400,42.15,2
664,49.87,20110819,52.59,TFX,1025000,53.0,2
665,142.25,20161028,169.61,TFX,3429897,142.25,1
667,13.27,20020301,15.49,SAM,865400,13.8,11
668,13.27,20020301,15.49,SAM,865400,15.11,8
669,12.9,20020719,15.0,SAM,426600,13.27,20
670,12.9,20020719,15.0,SAM,426600,13.48,15
671,12.9,20020719,15.0,SAM,426600,12.9,1
672,12.08,20030417,12.45,SAM,1332400,12.64,3
673,21.15,20041126,21.75,SAM,217100,22.21,13
674,20.0,20050429,21.56,SAM,223300,22.39,25
675,31.43,20071123,33.5,SAM,795500,35.91,2
676,19.02,20090313,21.75,SAM,1192300,36.55,20
677,19.02,20090313,21.75,SAM,1192300,33.46,18
678,19.02,20090313,21.75,SAM,1192300,19.02,1
679,72.7,20110930,74.26,SAM,720900,81.76,21
680,145.53,20130510,147.94,SAM,508400,149.12,1
681,208.42,20150828,201.03,SAM,940572,267.6,26
682,156.08,20160429,158.65,SAM,953610,219.59,26
683,150.04,20160513,153.04,SAM,698105,177.52,18
684,150.04,20160513,153.04,SAM,698105,159.41,3
685,11.38,20000225,12.19,ELY,2215800,13.06,4
686,11.38,20000225,12.19,ELY,2215800,13.19,2
687,12.44,20000728,14.25,ELY,4355700,12.44,1
