,Ticker,Open,Close,Date,Volume
0,MRC,17.02,14.17,2014-12-12,14799929
1,NVG,10.8,8.35,2008-10-10,561601
2,TDY,36.97,29.49,2009-01-23,5427900
3,TDY,53.0,42.8,2008-10-10,1820300
4,TDY,20.12,14.3,2001-02-23,1471800
5,TDY,23.25,18.44,2001-01-05,829400
6,TDY,24.5,19.75,2000-12-01,898000
7,TDY,28.13,23.0,2000-10-27,846000
8,TDY,29.0,23.44,2000-10-06,1486000
9,TDY,20.0,15.25,2000-08-04,908900
10,TDY,17.5,13.88,2000-05-19,933800
11,TDY,16.44,13.88,2000-04-14,820600
12,OLP,3.87,2.91,2009-02-27,301200
13,OLP,5.05,3.75,2009-02-20,192800
14,OLP,9.52,7.49,2009-01-16,252600
15,OLP,9.5,7.05,2008-12-12,465000
16,OLP,9.61,7.91,2008-11-21,370100
17,OLP,15.83,10.03,2008-10-10,433300
18,ETH,22.28,18.11,2012-06-22,4361700
19,ETH,23.47,19.9,2011-06-03,1270300
20,ETH,18.43,15.48,2010-10-22,1931800
21,ETH,16.06,13.58,2010-07-02,2195000
22,ETH,25.05,20.2,2010-04-30,4069200
23,ETH,15.62,12.46,2009-10-30,5452700
24,ETH,13.0,9.96,2009-05-15,2748400
25,ETH,9.33,7.1,2009-03-06,2481700
26,ETH,15.07,12.21,2008-11-21,3313000
27,ETH,25.25,20.68,2008-10-17,3798200
28,CPN,15.2,12.35,2016-02-12,39170591
29,CPN,9.69,7.97,2009-04-24,26918900
30,CPN,8.89,6.8,2008-11-21,19248800
31,CPN,10.37,8.72,2008-11-14,9466200
32,CPN,11.87,9.49,2008-11-07,12757300
33,CPN,13.24,10.96,2008-10-03,22932700
34,CPN,19.0,16.0,2008-01-18,7281400
35,UTX,56.0,42.25,2001-09-21,57657900
36,UTX,62.5,52.25,2000-01-28,13036500
37,PAGP,26.18,21.09,2017-08-11,23837560
38,PAGP,9.03,7.5,2015-12-18,36892819
39,PAGP,11.74,9.79,2015-12-04,34561775
40,PAGP,15.5,12.82,2015-11-06,51242560
41,PAGP,25.49,17.7,2015-08-07,38600680
42,SYY,43.05,36.28,2013-12-13,112113800
43,SYY,26.75,22.22,2001-09-21,21933500
44,ELP,11.13,8.42,2016-11-11,3618565
45,ELP,15.64,11.77,2013-06-21,2877901
46,ELP,11.43,9.07,2008-10-24,2741100
47,ELP,12.62,8.77,2008-10-10,4062646
48,ELP,2.48,1.93,2002-09-27,1456300
49,ELP,3.05,2.55,2002-09-20,458700
50,ELP,3.5,2.92,2002-08-16,5346000
51,ELP,3.95,3.28,2002-07-26,1011800
52,ELP,4.98,4.03,2002-06-21,1662000
53,ELP,9.31,7.44,2000-04-14,1120500
54,ATEN,7.55,6.32,2018-01-17,3297357
55,ATEN,9.5,7.47,2016-10-28,5856439
56,ATEN,4.96,4.14,2015-02-13,4233157
57,ATEN,8.07,4.21,2014-10-10,9729178
58,CDR,5.01,3.97,2011-08-05,1813800
59,CDR,8.05,6.75,2010-05-07,1649800
60,CDR,4.25,3.56,2009-05-15,1978800
61,CDR,2.8,1.98,2009-03-20,1885800
62,CDR,3.29,2.73,2009-03-13,1336300
63,CDR,4.68,3.32,2009-03-06,1441800
64,CDR,6.35,5.17,2009-02-20,1069200
65,CDR,6.6,4.22,2008-11-21,2334000
66,CDR,8.9,6.62,2008-11-14,1685500
67,CDR,11.73,9.52,2008-10-10,3237800
68,CDR,15.0,11.5,2003-10-24,2560900
69,CDR,3.57,2.81,2003-10-17,46800
70,CDR,3.79,2.77,2003-07-25,6600
71,CDR,7.1,3.79,2003-07-18,19500
72,CDR,4.23,2.61,2002-10-11,1800
73,CDR,5.75,3.77,2002-08-16,6000
74,CDR,8.8,5.4,2002-06-07,18900
75,CDR,6.0,5.03,2002-04-26,3300
76,CDR,5.15,3.85,2001-10-12,3900
77,CDR,4.0,3.38,2001-08-31,300
78,CDR,2.875,2.31,2001-04-06,13800
79,CDR,3.0,2.37,2001-03-16,1500
80,CDR,3.69,3.0,2001-03-02,1800
81,CDR,3.25,2.69,2000-12-22,1200
82,CDR,6.0,4.0,2000-04-14,11700
83,CDR,6.56,5.56,2000-02-11,300
84,AIZ,41.23,35.0,2010-11-12,17883400
85,AIZ,27.7,23.41,2009-05-01,14463400
86,AIZ,19.88,15.06,2008-11-21,18750300
87,AIZ,36.26,25.48,2008-10-31,18810100
88,AIZ,48.37,35.09,2008-10-10,10201500
89,AER,3.11,2.09,2009-03-06,3622300
90,AER,4.39,3.23,2009-02-27,3157300
91,AER,5.83,4.8701,2009-01-30,2893800
92,AER,4.39,3.08,2008-12-05,2018700
93,AER,4.01,2.6,2008-11-21,2333900
