,Ticker,Open,Close,Date,Volume
0,WD,27.89,23.64,2016-01-15,1554887
1,WD,15.88,12.96,2013-10-04,4873700
2,WD,18.49,14.51,2013-08-09,1869700
3,SOR,68.21,35.49,2016-03-18,1588297
4,SOR,29.05,22.52,2008-11-21,91677
5,SOR,36.6,29.42,2008-11-14,76843
6,SOR,43.5,31.94,2008-10-10,143397
7,KSU,117.535,99.49,2014-01-24,17313300
8,KSU,55.16,46.0,2011-08-19,9551700
9,KSU,17.06,13.53,2009-03-06,16638000
10,KSU,21.39,17.79,2009-01-16,8012800
11,KSU,21.91,18.31,2008-11-21,10120000
12,KSU,28.99,22.74,2008-11-14,7831800
13,KSU,35.07,28.67,2008-10-10,12117300
14,KSU,46.75,36.17,2008-10-03,9954500
15,KSU,14.75,11.99,2001-03-16,2651400
16,KSU,89.56,6.875,2000-07-14,31888600
17,KSU,78.5,63.56,2000-04-14,7604600
18,DAL,6.14,5.02,2009-03-20,63326700
19,DAL,4.85,4.06,2009-03-06,83948600
20,DAL,6.81,5.56,2009-02-20,62354100
21,DAL,10.6,6.9,2009-01-30,90623400
22,DAL,11.14,9.46,2008-11-07,83433300
23,DAL,7.74,6.03,2008-10-10,92259900
24,DAL,6.4,5.32,2008-06-13,67931100
25,DAL,7.48,5.5,2008-05-23,67888200
26,DAL,8.61,7.01,2008-04-25,78835200
27,DAL,10.69,8.75,2008-04-18,76432100
28,DAL,10.14,8.61,2008-03-28,49205800
29,DAL,12.92,9.6,2008-03-14,27394400
30,DAL,16.4,13.35,2008-02-29,19771000
31,DAL,18.73,15.6,2007-12-14,24828200
32,DAL,19.8,16.5,2007-11-09,22822000
33,JEC,44.19,36.59,2009-11-20,32907600
34,JEC,44.93,38.11,2009-05-01,18933200
35,JEC,37.47,31.01,2008-11-14,14240000
36,JEC,38.74,30.48,2008-10-24,15134300
37,JEC,42.16,35.78,2008-10-10,15501400
38,JEC,53.88,44.6,2008-10-03,13156000
39,JEC,89.78,74.21,2008-01-18,13130300
40,JEC,92.74,44.32,2007-03-16,2545100
41,JEC,46.47,39.2,2004-07-02,6376600
42,JEC,73.25,35.01,2002-04-05,931850
43,VSH,14.03,11.56,2011-08-05,13943800
44,VSH,10.47,8.83,2010-05-07,16745600
45,VSH,3.31,2.72,2009-02-20,4189700
46,VSH,4.34,3.67,2008-11-14,5966200
47,VSH,5.88,4.39,2008-10-10,10574000
48,VSH,15.5,12.81,2004-08-06,26382700
49,VSH,14.67,11.66,2002-12-06,6284400
50,VSH,13.2,11.21,2002-09-13,9419400
51,VSH,20.0,16.71,2001-09-21,5444600
52,VSH,20.06,16.56,2000-12-22,13155700
53,VSH,26.5,19.19,2000-12-01,13703000
54,VSH,31.25,26.06,2000-11-10,6497400
55,VSH,42.38,36.0,2000-07-21,7761100
56,VSH,88.5,70.0,2000-05-26,14651668
57,VSH,68.88,54.38,2000-04-14,6380201
58,NYT,10.67,8.19,2012-10-26,15829300
59,NYT,7.02,5.79,2011-09-23,13858600
60,NYT,10.86,7.97,2009-10-30,14458900
61,NYT,5.1,4.06,2009-02-13,5394100
62,NYT,7.17,5.34,2008-11-21,8624900
63,NYT,9.44,7.34,2008-11-14,8501700
64,NYT,13.54,9.55,2008-10-24,8561400
65,CALX,6.65,5.04,2017-08-11,3077235
66,CALX,7.25,5.67,2016-02-12,2413589
67,CALX,8.97,6.99,2015-10-30,2918651
68,CALX,11.86,9.86,2013-11-01,5689300
69,CALX,7.76,4.82,2012-07-13,6518000
70,CALX,8.96,6.82,2011-10-21,3338200
71,CALX,10.54,7.8,2011-09-30,3770900
72,CALX,15.98,12.92,2011-08-19,2097300
73,CALX,18.63,14.97,2011-08-05,2798100
74,CALX,12.5,10.4,2010-05-07,1882000
75,MUC,10.44,7.2,2008-10-10,1063900
76,POL,15.79,13.22,2011-08-05,6806200
77,POL,11.36,9.42,2010-05-07,6300400
78,POL,3.45,2.88,2009-05-15,3317000
79,POL,2.3,1.61,2009-02-27,3415400
80,POL,3.98,3.21,2008-11-14,2956700
81,POL,4.76,3.89,2008-11-07,2755000
82,POL,5.27,4.45,2008-10-17,4460000
83,POL,6.32,4.29,2002-12-20,12590000
84,POL,10.1,7.7,2001-09-21,1435400
85,POL,9.0,7.56,2001-03-16,1117100
86,POL,8.938,6.875,2000-09-22,3384300
87,CPK,69.25,43.76,2014-09-12,142300
88,DRI,17.05,14.3,2008-11-21,12454400
89,DRI,26.13,21.43,2008-10-10,22153000
90,DRI,35.95,27.51,2007-12-21,28689300
91,DRI,22.41,18.39,2003-09-26,13614900
92,DRI,20.63,17.05,2003-02-21,13242900
93,DRI,23.8,18.6,2002-11-01,20746900
94,DRI,39.6,25.47,2002-05-03,6295934
