,date of low,low,number of weeks since drop,original closing price,original date,ticker
0,20160520,20.37,3,22.95,20160429,TOWR
1,20160520,31.79,2,32.76,20160506,MATX
2,20170825,22.79,1,22.79,20170818,MATX
3,20141003,12.26,10,15.0,20140725,IVC
4,20150911,14.95,7,17.69,20150724,IVC
5,20160513,10.38,12,12.5,20160219,IVC
7,20170616,11.8,1,11.8,20170609,IVC
8,20160122,9.48,2,9.97,20160108,IRS
9,20130426,10.48,1,10.48,20130419,NL
10,20160129,2.08,23,3.87,20150821,NL
12,20161028,3.3,7,4.49,20160909,NL
13,20170303,5.8,4,6.2,20170203,NL
14,20170630,7.05,5,7.9,20170526,NL
15,20180220,8.0,16,11.75,20171103,NL
16,20130222,10.27,1,14.33,20170224,KOS
17,20141212,7.29,2,10.61,20130215,KOS
18,20151002,5.97,1,8.34,20141128,KOS
19,20160122,3.72,17,5.51,20150925,KOS
20,20160304,4.38,8,4.38,20160108,KOS
21,20161104,4.81,26,5.32,20160506,KOS
22,20141024,19.11,1,31.59,20160115,KN
23,20150213,18.59,17,18.82,20141017,KN
24,20151113,15.4,2,18.59,20150213,KN
25,20160212,9.98,15,16.66,20151030,KN
27,20141212,13.5,25,23.05,20140620,JMEI
28,20150213,12.67,25,32.18,20140822,JMEI
30,20150911,9.51,3,13.5,20141212,JMEI
31,20160212,5.49,25,11.76,20150821,JMEI
32,20160513,5.29,26,8.12,20151113,JMEI
33,20141107,22.85,4,67.88,20130705,ESTE
34,20141212,15.0,9,22.15,20141010,ESTE
35,20141219,19.08,1,19.82,20141128,ESTE
36,20150814,13.32,1,15.0,20141212,ESTE
37,20160715,10.46,4,13.2,20150807,ESTE
38,20150605,2.19,4,10.5,20160617,NTZ
39,20150911,1.67,18,2.25,20150508,NTZ
40,20160212,1.36,22,1.67,20150911,NTZ
42,20171117,1.93,26,2.6,20170519,NTZ
43,20180209,1.41,19,2.05,20170929,NTZ
44,20140509,22.82,21,29.96,20131213,SHI
45,20131206,13.98,4,35.14,20150821,JONE
46,20141212,9.82,9,13.84,20131108,JONE
47,20150313,8.19,22,13.39,20141010,JONE
49,20150821,4.75,2,10.18,20150213,JONE
50,20160205,1.9,26,5.63,20150807,JONE
51,20160219,1.37,26,4.75,20150821,JONE
54,20160429,1.38,11,1.38,20160212,JONE
55,20170825,0.96,2,2.77,20160819,JONE
56,20171208,0.8751,17,1.15,20170811,JONE
60,20171215,4.61,7,6.5,20150501,NOK
61,20160122,26.36,1,26.36,20160115,AGM
62,20171006,33.0,22,71.2,20170505,NC
63,20160212,7.43,4,8.78,20160115,CTR
65,20130628,1.77,18,2.51,20130222,FRO
67,20140926,1.25,17,2.26,20140530,FRO
68,20141128,1.24,13,2.05,20140829,FRO
70,20150130,2.31,2,3.35,20150116,FRO
72,20160122,2.17,2,2.45,20160108,FRO
73,20160122,2.03,1,2.03,20160115,FRO
74,20140214,7.67,15,9.86,20131101,CALX
75,20160212,5.67,15,6.99,20151030,CALX
77,20170908,4.65,4,5.04,20170811,CALX
78,20160212,19.37,14,30.73,20151106,MMI
79,20130426,40.1,2,43.1,20130412,INFY
80,20150710,15.48,2,16.17,20150626,INFY
