,date of low,low,number of weeks since drop,original closing price,original date,ticker
0,20140808,32.67,13,37.54,20140509,GNC
1,20160115,24.74,11,29.75,20151030,GNC
2,20160429,24.36,15,24.74,20160115,GNC
3,20160812,19.37,15,24.36,20160429,GNC
4,20170120,9.47,25,20.41,20160729,GNC
5,20170407,6.65,23,13.48,20161028,GNC
8,20180105,3.57,10,6.88,20171027,GNC
9,20161014,2.38,23,3.72,20171222,DAC
11,20170526,1.25,11,2.89,20160902,DAC
13,20170818,1.4,4,1.65,20170324,DAC
14,20180119,2.1,26,2.1,20170721,DAC
15,20170623,10.61,5,10.88,20170519,ITUB
16,20140516,18.22,20,19.99,20131227,GF
17,20130830,13.72,2,25.05,20140530,BITA
18,20130913,12.86,4,12.86,20130816,BITA
19,20150313,47.6,22,64.1,20141010,BITA
21,20150717,46.6,26,63.53,20150116,BITA
22,20150821,24.91,23,47.6,20150313,BITA
23,20160205,18.3,26,30.64,20150807,BITA
24,20160212,17.21,25,24.91,20150821,BITA
25,20160610,21.44,4,21.44,20160513,BITA
26,20171222,31.66,5,39.13,20171117,BITA
27,20151002,59.65,10,88.91,20150529,URI
28,20160212,45.45,2,64.72,20150724,URI
29,20180125,43.49,15,47.91,20160129,PCG
30,20180125,44.57,5,44.57,20171222,PCG
31,20160603,34.67,16,67.88,20130705,HRL
32,20170616,15.86,9,41.5,20160212,HCC
33,20151002,12.92,11,18.0,20170413,KEN
34,20160115,9.1,26,16.4,20150717,KEN
35,20170602,10.8,17,10.8,20170203,KEN
36,20160610,22.7,17,22.7,20160212,DKL
37,20131122,37.05,17,37.05,20130726,TPX
38,20151218,7.99,2,56.74,20160930,DLNG
39,20160115,7.31,6,11.11,20151204,DLNG
40,20160122,7.99,5,7.99,20151218,DLNG
41,20160219,7.31,5,7.31,20160115,DLNG
42,20161104,12.85,26,13.01,20160506,DLNG
43,20160205,36.58,3,142.25,20161028,ITGR
44,20160819,22.19,3,41.45,20160115,ITGR
45,20141212,5.39,2,22.21,20160729,PDS
46,20160115,2.92,1,6.44,20141128,PDS
47,20160219,3.15,6,3.28,20160108,PDS
48,20171103,7.79,1,35.04,20140912,XRF
49,20180119,5.45,12,7.89,20171027,XRF
50,20151211,3.17,23,4.74,20150702,FBP
51,20160219,11.8,1,11.8,20160212,BKD
52,20150807,12.34,22,14.76,20150306,DAR
53,20150612,5.62,24,10.7,20141226,AHC
54,20141017,45.7,1,45.7,20141010,APH
55,20140523,11.17,6,20.29,20140411,WWE
56,20140606,11.18,3,11.27,20140516,WWE
57,20150508,13.38,5,13.73,20150402,WWE
58,20160212,12.0,7,14.65,20151224,SCS
59,20170825,12.9,9,13.65,20170623,SCS
60,20141212,13.41,2,22.24,20141128,BTE
61,20150313,13.75,14,16.53,20141205,BTE
62,20160115,1.63,25,9.79,20150724,BTE
67,20160212,1.81,5,2.58,20160108,BTE
68,20160122,1.63,1,1.63,20160115,BTE
69,20160219,7.68,11,12.55,20151204,NWHM
71,20160520,9.15,2,9.29,20160506,NWHM
72,20150807,17.77,22,29.3,20150306,AAC
73,20160122,16.69,24,17.77,20150807,AAC
74,20161230,7.24,21,18.79,20160805,AAC
76,20170428,7.16,25,7.51,20161104,AAC
77,20130524,6.59,1,6.59,20130517,TCI
78,20141212,9.07,10,9.6007,20141003,TCI
80,20151127,8.45,1,8.45,20151120,TCI
81,20151113,73.07,19,99.9,20150702,EPC
82,20160916,6.49,1,6.49,20160909,MLP
83,20150123,7.32,1,14.15,20170811,HBM
84,20151120,4.26,1,7.07,20150116,HBM
85,20160122,1.85,10,3.94,20151113,HBM
87,20160212,1.95,4,2.03,20160115,HBM
88,20160923,3.71,20,4.085,20160506,HBM
89,20160318,17.51,1,39.82,20150821,BPT
90,20160408,12.6,4,19.17,20160311,BPT
91,20160513,13.5,6,13.77,20160401,BPT
92,20170324,18.65,4,21.3,20170224,BPT
93,20170505,19.3,3,19.3,20170413,BPT
94,20130222,46.79,4,51.21,20130125,TPR
95,20130405,38.85,3,40.38,20170818,TISI
96,20151023,33.19,3,37.45,20130315,TISI
97,20160205,22.9,18,33.31,20151002,TISI
98,20170818,10.75,23,26.3,20170310,TISI
100,20141010,5.15,2,10.8,20170811,OMN
101,20141114,5.71,7,5.71,20140926,OMN
102,20161111,8.19,7,8.19,20160923,OMN
103,20160513,31.22,26,39.1,20151113,M
104,20170609,22.7,4,31.22,20160513,M
105,20141212,13.53,3,23.61,20170512,WAIR
106,20170310,11.45,4,13.98,20141121,WAIR
107,20170811,7.55,26,12.95,20170210,WAIR
108,20171208,6.75,17,7.55,20170811,WAIR
109,20130405,35.07,9,35.07,20130201,HLF
110,20140919,44.83,7,60.06,20140124,HLF
111,20150130,30.48,26,52.57,20140801,HLF
113,20141024,51.25,16,55.22,20140703,TMK
114,20151113,56.94,14,100.38,20150807,MNK
115,20160318,54.62,25,68.45,20150925,MNK
117,20161230,49.82,6,54.62,20160318,MNK
118,20171124,21.22,2,54.59,20161118,MNK
119,20140912,5.23,18,21.76,20171110,ARL
120,20150710,4.61,11,6.85,20140509,ARL
121,20151009,4.81,24,4.81,20150424,ARL
122,20161216,5.29,26,5.32,20160617,ARL
123,20170811,7.23,24,7.23,20170224,ARL
124,20170825,6.67,24,6.67,20170310,ARL
125,20141212,7.29,2,10.61,20130215,KOS
126,20160122,3.72,17,8.34,20141128,KOS
128,20160624,4.38,24,4.38,20160108,KOS
129,20161104,4.81,26,5.32,20160506,KOS
130,20160527,11.02,24,11.02,20151211,FOR
131,20150515,42.2,24,42.2,20141128,HAL
132,20170324,6.25,20,100.75,20170210,SSW
133,20170602,5.33,17,9.73,20161104,SSW
134,20170728,6.46,25,7.52,20170203,SSW
135,20151023,13.15,3,19.93,20140808,KND
136,20161118,6.7,1,13.34,20151002,KND
137,20161216,6.55,5,6.55,20161111,KND
138,20171103,5.9,14,9.3,20170728,KND
139,20150402,20.52,2,45.28,20130419,MTR
140,20150821,9.55,22,19.23,20150320,MTR
141,20151218,5.7,17,9.55,20150821,MTR
143,20160115,6.27,5,6.27,20151211,MTR
144,20160916,8.165,18,8.57,20160513,MTR
145,20161202,10.15,5,10.15,20161028,MTR
146,20141212,5.56,2,11.25,20170224,ECR
148,20150313,5.59,14,7.89,20141205,ECR
149,20150116,5.56,5,5.56,20141212,ECR
150,20150731,3.85,1,5.73,20150109,ECR
151,20160115,0.7988,25,3.91,20150724,ECR
152,20160219,0.7007,26,3.38,20150821,ECR
159,20160311,0.81,5,0.81,20160205,ECR
160,20161104,2.49,18,3.35,20160701,ECR
161,20170317,2.22,3,2.61,20160708,ECR
162,20170428,2.01,9,2.15,20170224,ECR
163,20150123,17.9599,5,17.9599,20141219,CHN
164,20161223,19.05,7,20.3,20161104,INST
165,20140523,30.5,15,54.35,20140207,TWTR
166,20140613,32.05,5,32.05,20140509,TWTR
167,20150102,36.56,9,41.47,20141031,TWTR
168,20160513,14.1,2,37.84,20150501,TWTR
169,20160610,14.02,6,14.62,20160429,TWTR
170,20170407,14.29,26,19.85,20161007,TWTR
171,20160122,4.16,1,16.75,20170728,DSE
172,20160219,4.14,1,4.21,20160115,DSE
173,20160318,3.41,5,3.41,20160212,DSE
174,20141212,9.31,2,9.79,20141212,ERF
175,20150109,8.6,6,13.05,20141128,ERF
176,20150911,5.49,3,9.31,20141212,ERF
177,20160115,2.3,21,5.27,20150821,ERF
180,20160122,2.67,1,2.78,20160108,ERF
181,20160219,2.3,5,2.3,20160115,ERF
182,20160212,3.16,12,4.62,20151120,TROX
185,20160219,3.34,5,3.34,20160115,TROX
186,20160624,4.56,6,5.17,20160513,TROX
187,20161118,8.04,5,8.04,20161014,TROX
188,20150925,7.06,11,19.84,20171208,CC
189,20160108,4.8,26,11.66,20150710,CC
190,20160122,3.8,17,7.06,20150925,CC
192,20160429,3.98,15,3.98,20160115,CC
193,20141212,13.5,25,23.05,20140620,JMEI
194,20150213,12.67,25,32.18,20140822,JMEI
196,20151113,8.12,12,13.5,20141212,JMEI
197,20160212,5.49,25,11.76,20150821,JMEI
198,20160513,5.29,26,8.12,20151113,JMEI
199,20160212,8.77,13,26.49,20131220,PRTY
200,20160304,11.01,16,13.13,20151113,PRTY
201,20150109,8.12,13,48.66,20130726,RYI
202,20150313,5.73,22,11.09,20141010,RYI
203,20150501,5.48,24,9.68,20141114,RYI
204,20151218,4.19,12,8.12,20150109,RYI
205,20160122,2.85,17,5.01,20150925,RYI
206,20160212,3.12,3,4.19,20151218,RYI
207,20160506,2.85,15,2.85,20160122,RYI
208,20161104,8.95,12,14.18,20160722,RYI
