,close,date,low,low date,ticker,weeks of decline,weeks until rebound
0,72.14,20160520,42.74,20160212,BMI,1,1
4,12.5,20160520,10.14,20160212,PRO,4,1
5,14.0,20160527,10.94,20160212,PRO,12,2
11,13.8,20170413,11.8,20160212,MLP,26,48
12,40.48,20160520,18.44,20160212,W,4,1
14,40.8,20160527,35.21,20160212,W,10,2
15,42.04,20160603,35.91,20160212,W,13,3
16,20.55,20160715,15.0,20160212,NRP,6,9
22,17.03,20160520,11.45,20160212,RDC,6,1
24,21.27,20160520,16.28,20160212,BGG,7,1
26,22.3,20160527,18.54,20160212,BGG,11,2
27,66.49,20160722,56.94,20160212,MNK,14,10
28,62.83,20160527,54.62,20160212,MNK,25,2
29,61.03,20160520,49.82,20160212,MNK,6,1
39,18.09,20160520,10.01,20160212,RMP,20,1
42,15.99,20160603,13.85,20160212,NCS,20,3
43,16.95,20161104,14.33,20160212,AZRE,23,3
44,18.83,20160902,15.99,20160212,HIFR,1,16
48,120.07,20160520,50.6,20160212,DST,9,1
77,18.89,20160819,15.61,20160212,MSGN,19,14
78,25.23,20160520,13.48,20160212,GNC,26,1
87,27.61,20160520,16.41,20160212,ARA,11,1
89,50.5,20160527,43.25,20160212,AN,3,2
90,29.28,20160527,23.24,20160212,NEWR,2,2
93,31.15,20160520,26.24,20160212,ZNH,25,1
94,20.7,20160520,17.27,20160212,WLKP,21,1
102,25.74,20171110,15.84,20160212,WLL,21,78
117,15.65,20160520,13.59,20160212,SFL,1,1
119,58.99,20160520,49.71,20160212,LXFT,22,1
121,18.78,20160708,15.6,20160212,HZO,1,8
122,16.86,20160520,14.65,20160212,HZO,1,1
140,16.08,20160701,11.92,20160212,TDOC,19,7
144,15.29,20160520,12.21,20160212,SPXC,25,1
145,44.54,20160520,20.77,20160212,WGP,1,1
147,13.28,20160708,11.51,20160212,P,1,8
154,13.79,20160520,10.31,20160212,DL,6,1
155,17.37,20160520,11.55,20160212,GG,1,1
158,13.2,20160520,10.18,20160212,SA,1,1
166,23.47,20160520,14.65,20160212,GDOT,17,1
167,14.48,20161209,11.22,20160212,ERA,4,30
183,16.0,20160520,11.23,20160212,AEO,2,1
191,21.19,20160520,10.68,20160212,TPC,24,1
192,64.66,20160520,52.25,20160212,HEI,3,1
193,80.05,20161202,69.54,20160212,HEI,2,29
194,42.01,20170630,36.5,20160212,ODC,16,59
195,22.48,20161014,19.17,20160212,WAAS,1,1
198,35.58,20160520,17.53,20160212,UA,25,1
207,12.08,20170512,10.16,20160212,RST,26,52
213,57.11,20160520,35.33,20160212,APA,1,1
227,99.11,20160520,64.17,20160212,EW,17,1
238,54.77,20160520,29.85,20160212,FL,11,1
239,15.43,20160520,10.37,20160212,KNX,1,1
241,19.09,20160722,15.83,20160212,KNX,24,10
242,25.82,20161202,22.1,20160212,KNX,24,29
243,29.71,20160520,19.5,20160212,EIG,7,1
244,18.92,20160527,16.36,20160212,HQL,20,2
250,18.37,20160520,11.44,20160212,KNOP,23,1
252,29.35,20161125,23.86,20160212,MOV,16,28
253,26.1,20161118,22.67,20160212,MOV,9,27
254,25.75,20161111,21.54,20160212,MOV,22,26
255,27.88,20161007,23.16,20160212,WGO,25,21
262,14.8,20171006,12.0,20160212,MRIN,1,73
274,28.23,20160520,11.0,20160212,AMC,14,1
275,61.46,20160520,49.04,20160212,GCO,1,1
281,31.9,20160520,21.03,20160212,RSPP,2,1
282,28.12,20160520,23.22,20160212,IPHI,1,1
283,43.7,20160819,36.61,20160212,IPHI,22,14
287,14.5,20161125,12.6,20160212,USDP,15,28
305,52.2,20180112,44.51,20160212,TKR,4,87
306,45.4,20170127,38.5,20160212,TKR,14,37
307,55.45,20161209,45.7,20160212,RMAX,14,30
308,23.01,20160722,18.28,20160212,TBI,9,10
309,19.76,20160603,16.95,20160212,TBI,1,3
310,23.01,20160722,17.85,20160212,TBI,19,10
314,49.31,20161118,42.2,20160212,HAL,19,27
324,23.88,20160520,15.3,20160212,DBD,1,1
325,21.55,20160520,16.9,20160212,EEQ,16,1
327,52.01,20160715,44.68,20160212,MOH,5,9
328,35.92,20160603,29.22,20160212,ENV,10,3
332,15.67,20160805,12.41,20160212,WK,18,12
333,19.9,20180105,16.81,20160212,FCX,7,86
338,51.94,20160520,18.61,20160212,TEVA,19,1
339,34.62,20160520,20.06,20160212,KR,15,1
340,18.2,20160520,14.28,20160212,ABX,5,1
342,26.05,20160520,19.84,20160212,EOCC,22,1
355,14.19,20160520,10.1,20160212,TGP,5,1
358,18.26,20160527,14.31,20160212,HPE,18,2
364,13.06,20160624,10.32,20160212,EMES,20,6
383,43.87,20160701,15.93,20160212,HTZ,2,7
392,26.19,20160520,22.7,20160212,DKL,1,1
393,18.67,20160520,15.71,20160212,FLO,1,1
395,14.7,20160520,11.01,20160212,IDT,5,1
397,15.14,20160708,12.84,20160212,IDT,21,8
398,14.7,20160520,10.03,20160212,IDT,9,1
399,34.25,20160520,18.65,20160212,DVN,17,1
400,25.58,20160527,21.76,20160212,HQH,20,2
401,36.5,20160520,28.0,20160212,VRTV,13,1
404,56.04,20160520,45.7,20160212,APH,2,1
411,35.71,20170602,30.42,20160212,SNN,18,55
412,25.75,20160520,12.89,20160212,TEGP,1,1
418,108.19,20160812,86.94,20160212,RL,1,13
