,close,date,low,low date,ticker,weeks of decline,weeks until rebound
0,29.5,20160304,24.74,20131101,GNC,11,2
1,28.45,20160226,24.36,20131101,GNC,15,1
10,12.89,20170210,10.61,20131101,ITUB,5,51
11,21.2775,20180119,18.22,20131101,GF,20,100
12,20.94,20160226,13.72,20131101,BITA,2,1
14,30.9,20160923,24.91,20131101,BITA,23,31
15,23.14,20160304,18.3,20131101,BITA,26,2
16,20.94,20160226,17.21,20131101,BITA,25,1
17,25.38,20160311,21.44,20131101,BITA,4,3
18,36.91,20170811,31.66,20131101,BITA,5,77
19,71.27,20160603,59.65,20131101,URI,10,15
20,57.49,20160304,45.45,20131101,URI,2,2
21,56.43,20160226,43.49,20131101,PCG,15,1
23,42.97,20160226,34.67,20131101,HRL,16,1
24,77.93,20160226,15.86,20131101,HCC,9,1
25,16.68,20170908,12.92,20131101,KEN,11,81
27,12.9565,20170127,10.8,20131101,KEN,17,49
28,31.25,20160226,22.7,20131101,DKL,17,1
29,58.68,20160226,37.05,20131101,TPX,17,1
34,15.4,20160422,12.85,20131101,DLNG,26,9
35,42.1,20170609,36.58,20131101,ITGR,3,68
36,37.36,20160226,22.19,20131101,ITGR,3,1
42,14.49,20160226,11.8,20131101,BKD,1,1
43,14.2,20160422,12.34,20131101,DAR,22,9
45,52.94,20160226,45.7,20131101,APH,1,1
46,16.82,20160226,11.17,20131101,WWE,6,1
49,14.38,20160311,12.0,20131101,SCS,7,3
50,14.93,20160318,12.9,20131101,SCS,9,4
56,21.74,20160226,17.77,20131101,AAC,22,1
63,86.74,20160701,73.07,20131101,EPC,19,19
70,25.3,20160226,17.51,20131101,BPT,1,1
75,39.05,20161125,33.19,20131101,TISI,3,40
76,27.41,20160318,22.9,20131101,TISI,18,4
77,25.37,20160226,10.75,20131101,TISI,23,1
81,43.43,20160226,31.22,20131101,M,26,1
83,13.38,20160304,11.45,20131101,WAIR,4,2
86,55.15,20160226,35.07,20131101,HLF,9,1
89,59.62,20160520,51.25,20131101,TMK,16,13
90,69.24,20160226,56.94,20131101,MNK,14,1
103,13.12,20160401,11.02,20131101,FOR,24,6
104,49.31,20161118,42.2,20131101,HAL,24,39
115,12.35,20161021,10.15,20131101,MTR,5,35
122,20.68,20170825,17.9599,20131101,CHN,5,79
123,23.78,20160805,19.05,20131101,INST,7,24
124,17.94,20160226,14.1,20131101,TWTR,2,1
147,13.0,20160311,11.01,20131101,PRTY,16,3
159,14.38,20160701,11.86,20131101,TECK,5,19
162,12.25,20160429,10.46,20131101,TECK,15,10
163,18.26,20160916,14.94,20131101,TECK,17,30
177,72.45,20180125,62.38,20131101,NUS,26,101
178,47.18,20160701,39.4,20131101,NUS,14,19
179,32.83,20160304,28.13,20131101,NUS,19,2
180,14.19,20160311,12.31,20131101,BWP,2,3
185,59.69,20160722,51.66,20131101,MMS,24,22
191,19.19,20160415,16.01,20131101,EEP,5,8
192,14.77,20160311,12.29,20131101,NYLD,18,3
193,13.5,20160304,11.11,20131101,NYLD,20,2
194,23.3,20160226,11.0,20131101,AMC,14,1
196,14.66,20170210,12.63,20131101,HTGC,25,51
197,12.66,20160311,10.95,20131101,VIPS,13,3
199,22.9,20160226,16.95,20131101,TBI,1,1
201,25.09,20160304,21.55,20131101,TBI,10,2
202,63.56,20170526,53.5,20131101,DATA,11,66
203,48.17,20160415,40.25,20131101,DATA,1,8
210,62.79,20160226,20.68,20131101,WCN,11,1
214,21.05,20170217,18.3,20131101,ARES,3,52
219,18.95,20170616,16.46,20131101,STAY,1,69
220,31.83,20160226,25.52,20131101,BWXT,15,1
221,52.1,20171103,45.0,20131101,GBX,2,89
222,38.45,20161125,31.95,20131101,GBX,12,40
223,26.49,20160304,22.31,20131101,GBX,21,2
224,30.3,20160408,24.56,20131101,GBX,15,7
225,36.59,20161007,30.7,20131101,GBX,15,33
226,38.02,20160226,32.02,20131101,APC,1,1
227,45.26,20160304,35.35,20131101,APC,5,2
228,33.62,20161118,12.82,20131101,PAGP,13,39
232,14.52,20171117,12.54,20131101,ALDW,25,91
233,12.85,20160311,10.57,20131101,ALDW,18,3
234,15.58,20171124,13.36,20131101,ALDW,1,92
235,12.85,20160311,10.57,20131101,ALDW,17,3
239,25.16,20160304,19.33,20131101,SHOP,25,2
241,30.76,20171103,25.86,20131101,RYN,24,89
243,18.19,20160422,12.97,20131101,CEQP,24,9
248,56.45,20160429,48.14,20131101,CIR,1,10
249,51.66,20160226,43.25,20131101,AN,3,1
250,23.01,20160226,18.93,20131101,OKE,2,1
251,26.36,20160304,20.18,20131101,OKE,9,2
252,22.36,20160812,18.64,20131101,PLNT,22,25
254,28.98,20160226,23.0,20131101,PBF,16,1
255,30.54,20160226,25.64,20131101,GME,9,1
257,39.45,20160226,34.07,20131101,KR,7,1
274,12.5,20160304,10.4,20131101,GTN,25,2
277,62.07,20160226,42.13,20131101,CPK,3,1
280,65.89,20160226,35.68,20131101,SOR,2,1
281,23.65,20160226,14.67,20131101,WD,2,1
