,close,date,low,ticker,weeks of decline,weeks until rebound
0,29.5,20160304,24.74,GNC,12,3
1,28.45,20160226,24.36,GNC,15,2
2,27.11,20160219,19.37,GNC,15,1
3,27.11,20160219,9.47,GNC,25,1
4,27.11,20160219,6.65,GNC,23,1
5,27.11,20160219,3.57,GNC,10,1
6,4.64,20160219,3.31,DAC,4,1
7,4.64,20160219,3.33,DAC,15,1
8,4.64,20160219,3.97,DAC,15,1
9,4.64,20160219,3.76,DAC,12,1
10,4.64,20160219,2.82,DAC,25,1
11,4.64,20160219,2.38,DAC,23,1
12,4.64,20160219,2.2,DAC,26,1
13,4.64,20160219,1.25,DAC,12,1
14,4.64,20160219,1.3,DAC,15,1
15,4.64,20160219,1.4,DAC,20,1
16,28.46,20160708,24.4,LZB,1,21
17,13.97,20170915,12.12,ITUB,20,83
18,12.2,20161014,10.39,ITUB,26,35
19,9.29,20160415,7.96,ITUB,22,9
20,8.41,20160304,6.51,ITUB,18,3
21,8.41,20160304,5.84,ITUB,26,3
22,8.41,20160304,5.75,ITUB,26,3
23,12.2,20161014,10.31,ITUB,24,35
24,12.89,20170210,10.88,ITUB,24,52
25,24.51,20170602,21.01,BHVN,26,4
26,25.3,20160219,20.4,DSW,1,1
27,19.81,20160219,8.53,BITA,1,1
28,19.81,20160219,8.25,BITA,14,1
29,19.81,20160219,10.52,BITA,14,1
30,19.81,20160219,12.86,BITA,14,1
31,36.91,20170811,30.65,BITA,1,78
32,36.91,20170811,31.77,BITA,14,78
33,36.91,20170811,31.92,BITA,14,78
34,30.9,20160923,24.91,BITA,23,32
35,28.26,20160805,24.03,BITA,24,25
36,23.14,20160304,18.3,BITA,26,3
37,19.81,20160219,17.21,BITA,25,1
38,23.14,20160304,18.62,BITA,17,3
39,23.14,20160304,20.11,BITA,1,3
40,23.14,20160304,18.62,BITA,14,3
41,20.94,20160226,17.75,BITA,18,2
42,25.38,20160311,20.74,BITA,14,4
43,36.91,20170811,29.09,BITA,2,78
44,98.12,20161125,82.31,URI,5,41
45,71.27,20160603,59.65,URI,18,16
46,57.49,20160304,45.45,URI,5,3
47,45.19,20161209,38.82,UTL,20,43
48,42.7,20160401,37.1,UTL,22,7
49,30.49,20160219,25.99,IMAX,25,1
50,78.16,20170113,67.88,SNP,2,48
51,19.5,20160226,15.91,SAH,5,2
52,6.86,20160304,5.7,BBVA,1,3
53,6.27,20160226,5.38,BBVA,3,2
54,16.0,20161202,13.38,QCP,25,4
55,42.75,20160219,34.67,HRL,16,1
56,77.93,20160219,18.41,HCC,1,1
57,77.93,20160219,15.86,HCC,9,1
58,13.411,20170602,11.55,KEN,18,68
59,10.5,20160715,9.1,KEN,26,22
60,12.9565,20170127,10.8,KEN,20,50
61,31.25,20160226,24.55,DKL,26,2
62,31.25,20160226,22.7,DKL,9,2
63,31.25,20160226,24.55,DKL,20,2
64,31.25,20160226,22.7,DKL,20,2
65,25.42,20160219,22.0,DKL,26,1
66,55.83,20160219,37.05,TPX,20,1
67,55.83,20160219,43.49,TPX,18,1
68,13.19,20160318,10.75,SFE,1,5
69,13.82,20160401,11.76,SFE,8,7
70,17.17,20170106,14.28,DLNG,9,47
71,9.72,20160304,7.99,DLNG,19,3
72,8.77,20160219,7.31,DLNG,23,1
73,9.72,20160304,7.99,DLNG,22,3
74,8.77,20160219,7.31,DLNG,22,1
75,15.4,20160422,12.85,DLNG,26,10
76,13.54,20160415,10.86,DLNG,3,9
77,165.72,20160603,142.93,TFX,1,16
78,165.72,20160603,142.25,TFX,15,16
79,181.02,20160219,149.12,SAM,15,1
80,188.95,20160226,164.0,SAM,11,2
81,181.02,20160219,156.08,SAM,26,1
82,181.02,20160219,150.04,SAM,18,1
83,101.32,20160408,87.3,UTX,9,8
84,38.09,20160219,33.02,ITGR,26,1
85,38.09,20160219,19.06,ITGR,12,1
86,16.37,20160219,8.64,DDR,5,1
87,16.37,20160219,7.9,DDR,26,1
88,5.92,20170106,5.1,PDS,26,47
89,4.67,20160304,3.65,PDS,5,3
90,4.67,20160304,2.86,PDS,25,3
91,4.67,20160304,2.92,PDS,15,3
92,4.67,20160304,2.86,PDS,15,3
93,4.67,20160304,3.73,PDS,20,3
94,3.15,20160219,2.56,PDS,8,1
95,3.15,20160219,2.53,PDS,23,1
96,3.15,20160219,2.68,PDS,5,1
97,32.5,20160304,27.55,NOV,5,3
98,33.39,20160311,28.47,NOV,24,4
99,7.57,20170505,5.93,XRF,1,1
100,7.57,20170505,5.45,XRF,19,1
101,6.1,20161111,4.75,FBP,8,39
102,5.29,20161007,4.6,FBP,5,34
103,6.1,20161111,4.8,FBP,1,39
104,4.15,20160520,3.45,FBP,8,14
105,3.46,20160422,2.99,FBP,8,10
106,2.88,20160304,2.3,FBP,7,3
107,2.88,20160304,2.43,FBP,3,3
108,2.88,20160304,2.3,FBP,10,3
109,3.15,20160318,2.69,FBP,10,5
110,6.1,20161111,4.66,FBP,10,39
111,65.9,20160219,42.82,RHT,2,1
112,65.9,20160219,45.95,RHT,21,1
113,18.29,20160415,15.2,BKD,23,9
114,13.58,20160219,11.8,BKD,4,1
115,15.73,20160304,13.58,BKD,1,3
116,13.58,20160219,11.39,BKD,4,1
117,14.49,20160226,12.1,BKD,2,2
118,13.58,20160219,9.59,BKD,12,1
119,13.58,20160219,8.99,BKD,24,1
120,11.97,20160304,8.2,DAR,5,3
121,5.81,20160219,4.69,AHC,12,1
122,5.81,20160219,4.4,AHC,16,1
123,5.81,20160219,4.55,AHC,15,1
124,12.63,20160318,10.75,AVX,1,5
125,12.63,20160318,10.78,AVX,21,5
126,56.2,20160304,48.03,APH,1,3
127,16.9,20160219,12.75,DB,13,1
128,15.35,20160219,11.17,WWE,8,1
129,15.35,20160219,11.27,WWE,21,1
130,16.82,20160226,13.73,WWE,21,2
131,17.75,20160311,15.35,WWE,1,4
132,17.59,20160304,14.65,WWE,21,3
